loss: 0.6809408774971962, aac: 0.58
loss: 0.6797150059044361, aac: 0.59
loss: 0.6902210067212582, aac: 0.55
loss: 0.6969872929155827, aac: 0.545
loss: 0.6953394573181868, aac: 0.545
loss: 0.680281015560031, aac: 0.545
loss: 0.6326027182489633, aac: 0.545
loss: 0.5206955333799124, aac: 0.715
loss: 0.40690574146807196, aac: 0.84
loss: 0.36937893585301934, aac: 0.845
loss: 0.3516199701884761, aac: 0.85
loss: 0.3148349442053586, aac: 0.87
loss: 0.35445315386517906, aac: 0.875
loss: 0.3307584516354837, aac: 0.88
loss: 0.32711239671742076, aac: 0.9
loss: 0.3196455184428487, aac: 0.905
loss: 0.31332616092055104, aac: 0.905
loss: 0.3044751560880104, aac: 0.91
loss: 0.28562227011891084, aac: 0.915
loss: 0.3080198650104285, aac: 0.925
loss: 0.2993474388791947, aac: 0.92
loss: 0.29867177827545677, aac: 0.925
loss: 0.30127795119784423, aac: 0.925
loss: 0.27285398522304605, aac: 0.935
loss: 0.3168854123991332, aac: 0.935
loss: 0.27010846549092093, aac: 0.935
loss: 0.30845625922229375, aac: 0.935
loss: 0.3135289658750844, aac: 0.925
loss: 0.31482237076415914, aac: 0.925
loss: 0.29188287395183576, aac: 0.92
loss: 0.31510555111133726, aac: 0.925
loss: 0.30840312447213364, aac: 0.925
loss: 0.30028660341049546, aac: 0.92
loss: 0.3080047655334056, aac: 0.92
loss: 0.28148601877306645, aac: 0.93
loss: 0.2973401421868766, aac: 0.93
loss: 0.2786824344086199, aac: 0.93
loss: 0.3107439352320125, aac: 0.93
loss: 0.29822134510603066, aac: 0.93
loss: 0.3082423940420267, aac: 0.94
loss: 0.3117901040603465, aac: 0.93
loss: 0.31547302379385656, aac: 0.935
loss: 0.30070165912617086, aac: 0.93
loss: 0.29147480541951154, aac: 0.94
loss: 0.28856801075253313, aac: 0.93
loss: 0.3153736877216761, aac: 0.93
loss: 0.29303006438665763, aac: 0.93
loss: 0.3409368117145641, aac: 0.93
loss: 0.2909450866271072, aac: 0.94
loss: 0.31605102250690836, aac: 0.935
loss: 0.31341849078420636, aac: 0.935
loss: 0.3059105435083802, aac: 0.93
loss: 0.3268223755574218, aac: 0.94
loss: 0.3146139373901315, aac: 0.925
loss: 0.31714476204699166, aac: 0.935
loss: 0.307784275750073, aac: 0.93
loss: 0.3174931396944521, aac: 0.935
loss: 0.32227654389052984, aac: 0.93
loss: 0.33377429163445416, aac: 0.93
loss: 0.33320230579756754, aac: 0.925
