loss: 0.6825155290961266, aac: 0.565
loss: 0.7104863512516022, aac: 0.55
loss: 0.7275221516937017, aac: 0.545
loss: 0.7167227723449469, aac: 0.545
loss: 0.726546094045043, aac: 0.545
loss: 0.7018386019021272, aac: 0.545
loss: 0.6668470959737897, aac: 0.555
loss: 0.61664858661592, aac: 0.625
loss: 0.5615744608547538, aac: 0.715
loss: 0.5189273185562342, aac: 0.74
loss: 0.4990936855599284, aac: 0.76
loss: 0.4682534649316221, aac: 0.78
loss: 0.47166873240610585, aac: 0.775
loss: 0.44033304675482215, aac: 0.79
loss: 0.4573613349627703, aac: 0.785
loss: 0.47083669527200983, aac: 0.81
loss: 0.4563850243372144, aac: 0.815
loss: 0.4799414327566046, aac: 0.83
loss: 0.45310487137467137, aac: 0.84
loss: 0.4665481291565811, aac: 0.83
loss: 0.48967476862570036, aac: 0.83
loss: 0.46116521551826734, aac: 0.83
loss: 0.44139037061075215, aac: 0.835
loss: 0.4504708953964291, aac: 0.845
loss: 0.45943668257401443, aac: 0.83
loss: 0.44829070222680456, aac: 0.835
loss: 0.47974572261664433, aac: 0.855
loss: 0.4717397106699355, aac: 0.85
loss: 0.45738591838191495, aac: 0.84
loss: 0.4415481537253072, aac: 0.885
loss: 0.4350699574178725, aac: 0.85
loss: 0.3901787903622608, aac: 0.875
loss: 0.42054212060640567, aac: 0.875
loss: 0.4283375066077133, aac: 0.87
loss: 0.42114596898471063, aac: 0.87
loss: 0.43876094544961236, aac: 0.895
loss: 0.44467243482933555, aac: 0.875
loss: 0.4667584256826376, aac: 0.875
loss: 0.4747459959806292, aac: 0.88
loss: 0.46951501351322805, aac: 0.865
loss: 0.4663438524426238, aac: 0.88
loss: 0.4681329947280392, aac: 0.875
loss: 0.5011355109477336, aac: 0.87
loss: 0.4335690659710235, aac: 0.88
loss: 0.47448356096763744, aac: 0.875
loss: 0.48742350041105964, aac: 0.865
loss: 0.46076800601658763, aac: 0.885
loss: 0.44460030259086125, aac: 0.875
loss: 0.4820978602127434, aac: 0.87
loss: 0.41963679118773145, aac: 0.88
loss: 0.44301282012582305, aac: 0.885
loss: 0.42274202287802837, aac: 0.895
loss: 0.4677471303895436, aac: 0.86
loss: 0.4329360274232931, aac: 0.87
loss: 0.42032228455444054, aac: 0.89
loss: 0.4043357066316639, aac: 0.875
loss: 0.3643007403997763, aac: 0.9
loss: 0.37590211075767, aac: 0.9
loss: 0.38493877948160843, aac: 0.895
loss: 0.39704416651220525, aac: 0.915
