loss: 0.6956097814440727, aac: 0.49
loss: 0.6748515337705612, aac: 0.585
loss: 0.6773524309694767, aac: 0.56
loss: 0.6857534240186215, aac: 0.555
loss: 0.7083511146903038, aac: 0.545
loss: 0.7008738081157208, aac: 0.545
loss: 0.6581113120540977, aac: 0.55
loss: 0.6064888752251864, aac: 0.605
loss: 0.5574705467559398, aac: 0.685
loss: 0.4936193813197315, aac: 0.74
loss: 0.5018079828703776, aac: 0.755
loss: 0.5096798671968281, aac: 0.79
loss: 0.5204767683381215, aac: 0.78
loss: 0.5145331039233133, aac: 0.815
loss: 0.5033016634709202, aac: 0.81
loss: 0.5980674664874095, aac: 0.79
loss: 0.5696335246914532, aac: 0.81
loss: 0.577150720001664, aac: 0.8
loss: 0.6638705395942088, aac: 0.77
loss: 0.5947004806553013, aac: 0.815
loss: 0.6339815651567187, aac: 0.8
loss: 0.5996312828944065, aac: 0.805
loss: 0.6243675761664054, aac: 0.795
loss: 0.5949045711447252, aac: 0.82
loss: 0.5402871617657365, aac: 0.845
loss: 0.5485468034728547, aac: 0.83
loss: 0.5562648812792031, aac: 0.845
loss: 0.5450821093842387, aac: 0.85
loss: 0.5870872628071812, aac: 0.85
loss: 0.5359954322464182, aac: 0.85
loss: 0.6014405847596936, aac: 0.845
loss: 0.5505475111753912, aac: 0.86
loss: 0.5640606741166266, aac: 0.86
loss: 0.5846482038433897, aac: 0.855
loss: 0.544067697217688, aac: 0.86
loss: 0.5372242670450942, aac: 0.865
loss: 0.5499893584508391, aac: 0.86
loss: 0.5578603237215429, aac: 0.87
loss: 0.5916749937539862, aac: 0.845
loss: 0.5792135723367392, aac: 0.845
loss: 0.5497745808176114, aac: 0.855
loss: 0.5946633595928142, aac: 0.845
loss: 0.5791986582533718, aac: 0.865
loss: 0.5990507680371229, aac: 0.855
loss: 0.5793210537786218, aac: 0.85
loss: 0.5606891665133662, aac: 0.855
loss: 0.5885010842359043, aac: 0.85
loss: 0.6300506182277604, aac: 0.85
loss: 0.578906487401473, aac: 0.86
loss: 0.584545611802896, aac: 0.875
loss: 0.6268553813751714, aac: 0.855
loss: 0.6523099205436301, aac: 0.845
loss: 0.6459428414771538, aac: 0.855
loss: 0.5826141750562237, aac: 0.87
loss: 0.6422225143344985, aac: 0.865
loss: 0.6300031259684329, aac: 0.85
loss: 0.6686539824119245, aac: 0.86
loss: 0.6563003669686441, aac: 0.86
loss: 0.6312808501360996, aac: 0.84
loss: 0.5882502654960262, aac: 0.875
