loss: 0.6920017580687999, aac: 0.555
loss: 0.6973493491113186, aac: 0.535
loss: 0.7026442601531744, aac: 0.545
loss: 0.7079667822271586, aac: 0.545
loss: 0.7104703540354967, aac: 0.545
loss: 0.6824782022461295, aac: 0.545
loss: 0.6095341012626886, aac: 0.59
loss: 0.5350061785243452, aac: 0.715
loss: 0.42352072259411216, aac: 0.83
loss: 0.3965685643441975, aac: 0.83
loss: 0.35737979526165875, aac: 0.87
loss: 0.3703003529238049, aac: 0.88
loss: 0.3621580384345725, aac: 0.88
loss: 0.343434367403388, aac: 0.885
loss: 0.3183649778884137, aac: 0.895
loss: 0.32259068500541616, aac: 0.895
loss: 0.30260881769820114, aac: 0.91
loss: 0.28170848033885704, aac: 0.925
loss: 0.3078401183092501, aac: 0.92
loss: 0.3093747239274671, aac: 0.92
loss: 0.2985430183832068, aac: 0.92
loss: 0.29921392048243434, aac: 0.925
loss: 0.32349936266226, aac: 0.935
loss: 0.2854481326219684, aac: 0.94
loss: 0.278662648916943, aac: 0.94
loss: 0.29420614329377714, aac: 0.94
loss: 0.2860440260262112, aac: 0.935
loss: 0.2724856124894723, aac: 0.935
loss: 0.3070938373971148, aac: 0.925
loss: 0.30201672796443746, aac: 0.94
loss: 0.30785780369187704, aac: 0.93
loss: 0.3059299659435055, aac: 0.94
loss: 0.29613033579888, aac: 0.93
loss: 0.2876087053815718, aac: 0.925
loss: 0.33076605876514803, aac: 0.925
loss: 0.307933202975546, aac: 0.92
loss: 0.29689070715736304, aac: 0.925
loss: 0.3097128367996629, aac: 0.92
loss: 0.3010836633992585, aac: 0.93
loss: 0.32990035520106176, aac: 0.925
loss: 0.3220364882068679, aac: 0.91
loss: 0.3112601247787825, aac: 0.915
loss: 0.34858649642003003, aac: 0.925
loss: 0.3181454909997046, aac: 0.935
loss: 0.3538411380370235, aac: 0.92
loss: 0.34596314305774284, aac: 0.92
loss: 0.3212038047772421, aac: 0.92
loss: 0.35920650485000805, aac: 0.92
loss: 0.3443672330026311, aac: 0.915
loss: 0.3589102586962508, aac: 0.91
loss: 0.3960650295737469, aac: 0.92
loss: 0.3543776312907721, aac: 0.925
loss: 0.33061385111068375, aac: 0.92
loss: 0.34369771369551017, aac: 0.915
loss: 0.33713865621117295, aac: 0.92
loss: 0.31080207103083013, aac: 0.92
loss: 0.3458786478119146, aac: 0.925
loss: 0.33087756621824155, aac: 0.925
loss: 0.36404496583560103, aac: 0.915
loss: 0.3462469327442523, aac: 0.92
