loss: 0.6859013532102108, aac: 0.565
loss: 0.6982982531189919, aac: 0.545
loss: 0.7024530133605004, aac: 0.545
loss: 0.7058621528744697, aac: 0.545
loss: 0.7006399086862802, aac: 0.545
loss: 0.6118014438822865, aac: 0.6
loss: 0.5401303679309786, aac: 0.75
loss: 0.5195613588485867, aac: 0.755
loss: 0.7119677329994738, aac: 0.65
loss: 0.5767900276510045, aac: 0.745
loss: 0.6594399768253788, aac: 0.695
loss: 0.5623007254116237, aac: 0.765
loss: 0.5611273885890842, aac: 0.775
loss: 0.5277007148647681, aac: 0.795
loss: 0.5406088211759925, aac: 0.78
loss: 0.5725324587128126, aac: 0.785
loss: 0.5248831060377416, aac: 0.795
loss: 0.70340627666621, aac: 0.745
loss: 0.5908546195388772, aac: 0.765
loss: 0.7590591067506466, aac: 0.76
loss: 0.7514748830441386, aac: 0.75
loss: 0.7520908458391204, aac: 0.765
loss: 0.7992253583669663, aac: 0.755
loss: 0.832169211243745, aac: 0.745
loss: 0.8211795513733523, aac: 0.745
loss: 0.7983768739452353, aac: 0.77
loss: 0.8085972787457285, aac: 0.75
loss: 0.7266764359758235, aac: 0.77
loss: 0.6660888918605633, aac: 0.79
loss: 0.7183703096880345, aac: 0.785
loss: 0.5169600212224759, aac: 0.845
loss: 0.4955265518912347, aac: 0.86
loss: 0.484647577907308, aac: 0.86
loss: 0.5020038945823034, aac: 0.87
loss: 0.47899542619474234, aac: 0.875
loss: 0.49446355389169183, aac: 0.875
loss: 0.5077954635035712, aac: 0.87
loss: 0.5451574354391778, aac: 0.875
loss: 0.49691320177924353, aac: 0.875
loss: 0.454665970535425, aac: 0.885
loss: 0.4969329807958275, aac: 0.875
loss: 0.4847778206859948, aac: 0.885
loss: 0.5237875164012076, aac: 0.875
loss: 0.48698799492951367, aac: 0.875
loss: 0.4390281100058928, aac: 0.875
loss: 0.46372560370335125, aac: 0.885
loss: 0.49855981077096656, aac: 0.885
loss: 0.48852220903121635, aac: 0.885
loss: 0.4892549160998897, aac: 0.88
loss: 0.5034700338312541, aac: 0.875
loss: 0.4724894408482942, aac: 0.875
loss: 0.4834913977130782, aac: 0.88
loss: 0.4875980360538233, aac: 0.88
loss: 0.4587365490398952, aac: 0.885
loss: 0.4864018184336601, aac: 0.88
loss: 0.4969012813338486, aac: 0.885
loss: 0.4999808143847622, aac: 0.885
loss: 0.46084608233883045, aac: 0.885
loss: 0.4638857181851927, aac: 0.88
loss: 0.4925596085350844, aac: 0.885
