loss: 0.7675077930092812, aac: 0.58
loss: 0.6952573484927416, aac: 0.66
loss: 0.6745915476232767, aac: 0.665
loss: 0.6482071489840746, aac: 0.675
loss: 0.625360841229558, aac: 0.71
loss: 0.6122718230634928, aac: 0.73
loss: 0.6027996052801609, aac: 0.745
loss: 0.5991126619279384, aac: 0.715
loss: 0.5679482306540012, aac: 0.79
loss: 0.5824818364530802, aac: 0.755
loss: 0.5671963777393103, aac: 0.735
loss: 0.592894079387188, aac: 0.725
loss: 0.5909227165579796, aac: 0.715
loss: 0.5750066635012626, aac: 0.73
loss: 0.5665488992631436, aac: 0.765
loss: 0.5549360758811236, aac: 0.765
loss: 0.5749847359955311, aac: 0.75
loss: 0.5370375394448638, aac: 0.755
loss: 0.5339182101935148, aac: 0.775
loss: 0.5444649418443441, aac: 0.76
loss: 0.5318918986618519, aac: 0.77
loss: 0.5404681557789445, aac: 0.74
loss: 0.5391130453720688, aac: 0.745
loss: 0.5226353115960956, aac: 0.8
loss: 0.5184936176612973, aac: 0.775
loss: 0.5011902602761984, aac: 0.785
loss: 0.5043999721854925, aac: 0.79
loss: 0.513303016461432, aac: 0.815
loss: 0.47286127727478744, aac: 0.785
loss: 0.4585569953918457, aac: 0.795
loss: 0.45042365055531264, aac: 0.835
loss: 0.47839509716257456, aac: 0.805
loss: 0.42808897713199257, aac: 0.84
loss: 0.4244436056166887, aac: 0.84
loss: 0.39871682262048125, aac: 0.835
loss: 0.3943315589241683, aac: 0.84
loss: 0.3756242074072361, aac: 0.86
loss: 0.3691872964426875, aac: 0.845
loss: 0.3849595533497632, aac: 0.86
loss: 0.36685404530726373, aac: 0.86
loss: 0.36629058291204275, aac: 0.86
loss: 0.33879552587866785, aac: 0.875
loss: 0.3165814801864326, aac: 0.875
loss: 0.3032090453617275, aac: 0.9
loss: 0.33315820740535856, aac: 0.88
loss: 0.32707662815228106, aac: 0.875
loss: 0.30607085389550776, aac: 0.89
loss: 0.29796719355974344, aac: 0.905
loss: 0.3110235891537741, aac: 0.895
loss: 0.3101701995357871, aac: 0.905
loss: 0.2755653347703628, aac: 0.905
loss: 0.28876255405135454, aac: 0.895
loss: 0.29440643356181684, aac: 0.91
loss: 0.24626308817882092, aac: 0.925
loss: 0.27811529010301456, aac: 0.92
loss: 0.3020456562843174, aac: 0.915
loss: 0.27565786247258073, aac: 0.925
loss: 0.2961991766898427, aac: 0.915
loss: 0.2868075522687286, aac: 0.92
loss: 0.2823878890590277, aac: 0.915
