loss: 0.6987872594594955, aac: 0.55
loss: 0.6919116017222404, aac: 0.55
loss: 0.6903270249068737, aac: 0.555
loss: 0.6838317035138607, aac: 0.57
loss: 0.6794723430275917, aac: 0.545
loss: 0.6700004932284355, aac: 0.575
loss: 0.6552492173016071, aac: 0.595
loss: 0.6271802962571382, aac: 0.69
loss: 0.5825338120758533, aac: 0.82
loss: 0.538949786350131, aac: 0.83
loss: 0.5009876831620932, aac: 0.86
loss: 0.48389042995870113, aac: 0.84
loss: 0.4651975141465664, aac: 0.86
loss: 0.45721634440124037, aac: 0.885
loss: 0.443662546351552, aac: 0.88
loss: 0.4441812130063772, aac: 0.895
loss: 0.41996623173356057, aac: 0.9
loss: 0.42911232225596907, aac: 0.905
loss: 0.4311444053053856, aac: 0.91
loss: 0.42430147126317025, aac: 0.91
loss: 0.4121211052685976, aac: 0.92
loss: 0.3951777043193579, aac: 0.925
loss: 0.4179966201633215, aac: 0.92
loss: 0.40776689298450947, aac: 0.925
loss: 0.4179284918308258, aac: 0.925
loss: 0.4217724101245403, aac: 0.925
loss: 0.4104636499285698, aac: 0.925
loss: 0.40933915924280884, aac: 0.925
loss: 0.4197388146445155, aac: 0.925
loss: 0.4004308495670557, aac: 0.925
loss: 0.40710338424891235, aac: 0.925
loss: 0.4068755179271102, aac: 0.925
loss: 0.40204870712012053, aac: 0.925
loss: 0.40084412023425103, aac: 0.925
loss: 0.4180662680417299, aac: 0.925
loss: 0.4064441493526101, aac: 0.925
loss: 0.4080804692581296, aac: 0.925
loss: 0.40414956282824277, aac: 0.925
loss: 0.4075845519825816, aac: 0.92
loss: 0.4020328211598098, aac: 0.92
loss: 0.4048959110863507, aac: 0.925
loss: 0.39913641445338727, aac: 0.93
loss: 0.3983565387316048, aac: 0.92
loss: 0.3869598902948201, aac: 0.92
loss: 0.3908185745030642, aac: 0.92
loss: 0.3934188442118466, aac: 0.915
loss: 0.39402641393244264, aac: 0.92
loss: 0.37860927189700305, aac: 0.925
loss: 0.3861712533887476, aac: 0.925
loss: 0.3695795637648553, aac: 0.915
loss: 0.3609982784744352, aac: 0.92
loss: 0.35841343422420324, aac: 0.925
loss: 0.38148584722541273, aac: 0.915
loss: 0.3681251787021756, aac: 0.915
loss: 0.34156312396749855, aac: 0.93
loss: 0.37152717978693545, aac: 0.93
loss: 0.34834673976991326, aac: 0.925
loss: 0.34136560740880667, aac: 0.935
loss: 0.3402869102265686, aac: 0.94
loss: 0.35691171975340696, aac: 0.935
