loss: 0.6943617874383926, aac: 0.545
loss: 0.6932380010187625, aac: 0.545
loss: 0.6953755298256874, aac: 0.55
loss: 0.6966000562906265, aac: 0.555
loss: 0.6913311602175236, aac: 0.55
loss: 0.6839226230978965, aac: 0.555
loss: 0.6637806802988052, aac: 0.565
loss: 0.6367794434726238, aac: 0.655
loss: 0.6018739107251168, aac: 0.765
loss: 0.5591202787309885, aac: 0.815
loss: 0.5268906108289957, aac: 0.83
loss: 0.5020150578022003, aac: 0.825
loss: 0.4927113696932793, aac: 0.83
loss: 0.4780861873924732, aac: 0.84
loss: 0.48012974821031096, aac: 0.845
loss: 0.4692189595848322, aac: 0.85
loss: 0.49627812415361405, aac: 0.85
loss: 0.47705182489007714, aac: 0.865
loss: 0.48391628440469503, aac: 0.85
loss: 0.4906130459159613, aac: 0.835
loss: 0.5177548820897937, aac: 0.84
loss: 0.5128499267622828, aac: 0.835
loss: 0.5126518803089857, aac: 0.84
loss: 0.5164806559681893, aac: 0.84
loss: 0.5028544861450791, aac: 0.84
loss: 0.5284028442017734, aac: 0.84
loss: 0.5277108166366815, aac: 0.835
loss: 0.5470380906574428, aac: 0.82
loss: 0.5373601824603975, aac: 0.825
loss: 0.5520328931417317, aac: 0.83
loss: 0.5577987031731755, aac: 0.82
loss: 0.5634781238157303, aac: 0.825
loss: 0.5579978236462921, aac: 0.835
loss: 0.5366844737809151, aac: 0.83
loss: 0.5539557727426291, aac: 0.835
loss: 0.5557752240076661, aac: 0.85
loss: 0.5125283828005195, aac: 0.835
loss: 0.5243056455953047, aac: 0.835
loss: 0.5452575818449259, aac: 0.845
loss: 0.5445262291003019, aac: 0.84
loss: 0.5325309542217291, aac: 0.84
loss: 0.5351377247204073, aac: 0.835
loss: 0.5437307304702699, aac: 0.845
loss: 0.5720670346403495, aac: 0.84
loss: 0.5517585640633479, aac: 0.835
loss: 0.5524433060060255, aac: 0.84
loss: 0.5427445812348742, aac: 0.84
loss: 0.5543045842042192, aac: 0.85
loss: 0.5681517398590222, aac: 0.85
loss: 0.5494462332688272, aac: 0.85
loss: 0.5242880605987739, aac: 0.85
loss: 0.5305313280760311, aac: 0.855
loss: 0.5485869723872747, aac: 0.86
loss: 0.54251049515442, aac: 0.87
loss: 0.5322454195050522, aac: 0.865
loss: 0.5479898052290082, aac: 0.875
loss: 0.5491797071311157, aac: 0.86
loss: 0.5586060256441123, aac: 0.87
loss: 0.5422740899363998, aac: 0.87
loss: 0.5771416132414015, aac: 0.86
