loss: 0.6964163511991501, aac: 0.53
loss: 0.698284777700901, aac: 0.56
loss: 0.7069172197580338, aac: 0.545
loss: 0.7102054856717587, aac: 0.55
loss: 0.7224221307039261, aac: 0.545
loss: 0.7211015701293946, aac: 0.545
loss: 0.7252100506424903, aac: 0.545
loss: 0.725893561989069, aac: 0.55
loss: 0.7204707998782396, aac: 0.545
loss: 0.7063941836357117, aac: 0.55
loss: 0.6933916783332825, aac: 0.555
loss: 0.6706346075236798, aac: 0.595
loss: 0.6189637203514576, aac: 0.755
loss: 0.576237381324172, aac: 0.785
loss: 0.5396431228518486, aac: 0.79
loss: 0.5292568244785071, aac: 0.785
loss: 0.5252530076354742, aac: 0.795
loss: 0.5108720884472132, aac: 0.83
loss: 0.5062649155408144, aac: 0.835
loss: 0.5129860658943654, aac: 0.84
loss: 0.48580149479210377, aac: 0.85
loss: 0.47281720586121084, aac: 0.85
loss: 0.4933521307632327, aac: 0.85
loss: 0.47599279206246137, aac: 0.855
loss: 0.49030278861522675, aac: 0.855
loss: 0.4919809854403138, aac: 0.845
loss: 0.4895392157137394, aac: 0.855
loss: 0.5118019149266183, aac: 0.835
loss: 0.5176740414835512, aac: 0.83
loss: 0.5702905899100006, aac: 0.81
loss: 0.5613420956768096, aac: 0.805
loss: 0.5686036328971386, aac: 0.79
loss: 0.6062825359869748, aac: 0.8
loss: 0.6249762904085219, aac: 0.79
loss: 0.6112802520487457, aac: 0.795
loss: 0.6371668547764421, aac: 0.795
loss: 0.6246848618099466, aac: 0.785
loss: 0.6630419096769765, aac: 0.79
loss: 0.6300117376213893, aac: 0.805
loss: 0.6455464103026316, aac: 0.81
loss: 0.6769944407674484, aac: 0.82
loss: 0.673209908506833, aac: 0.815
loss: 0.687344811775256, aac: 0.815
loss: 0.6875664223916829, aac: 0.82
loss: 0.6751305621350184, aac: 0.805
loss: 0.6913058364065364, aac: 0.805
loss: 0.7267401407798753, aac: 0.81
loss: 0.7077778015681543, aac: 0.81
loss: 0.7095790156209841, aac: 0.815
loss: 0.6946223976230249, aac: 0.81
loss: 0.7610420460882596, aac: 0.81
loss: 0.7553367661579977, aac: 0.81
loss: 0.7738731518131681, aac: 0.805
loss: 0.7964244720863644, aac: 0.8
loss: 0.7651353856513743, aac: 0.8
loss: 0.784737975668395, aac: 0.8
loss: 0.8212589748622849, aac: 0.805
loss: 0.7939322888397146, aac: 0.8
loss: 0.7894655634812079, aac: 0.805
loss: 0.8154798299970571, aac: 0.81
