loss: 0.6937261110544205, aac: 0.55
loss: 0.7028831961750984, aac: 0.53
loss: 0.6919724015891552, aac: 0.55
loss: 0.6954475009441375, aac: 0.555
loss: 0.695092560350895, aac: 0.545
loss: 0.7002141949534416, aac: 0.545
loss: 0.6975408999621868, aac: 0.545
loss: 0.6862672621011734, aac: 0.545
loss: 0.6803502428531647, aac: 0.55
loss: 0.6647821448743343, aac: 0.565
loss: 0.6361012227833271, aac: 0.62
loss: 0.5872948297858238, aac: 0.79
loss: 0.5364497267454863, aac: 0.845
loss: 0.5118679255992175, aac: 0.855
loss: 0.4848281125724316, aac: 0.845
loss: 0.4637904535979033, aac: 0.855
loss: 0.45191364191472533, aac: 0.865
loss: 0.45526736333966256, aac: 0.87
loss: 0.4497196511924267, aac: 0.865
loss: 0.4444573824852705, aac: 0.885
loss: 0.4551711370050907, aac: 0.885
loss: 0.4406160178780556, aac: 0.87
loss: 0.43201973609626293, aac: 0.885
loss: 0.43743450872600076, aac: 0.88
loss: 0.43104680493474007, aac: 0.885
loss: 0.4193734461069107, aac: 0.885
loss: 0.4300581556558609, aac: 0.875
loss: 0.43343537908047436, aac: 0.885
loss: 0.4442480802536011, aac: 0.88
loss: 0.42972040563821795, aac: 0.89
loss: 0.4009765538945794, aac: 0.885
loss: 0.409613285921514, aac: 0.89
loss: 0.3931936188042164, aac: 0.895
loss: 0.40115357110276817, aac: 0.895
loss: 0.3950851266272366, aac: 0.9
loss: 0.3854450656659901, aac: 0.905
loss: 0.37769878536462786, aac: 0.9
loss: 0.36130293807014824, aac: 0.905
loss: 0.3884670198429376, aac: 0.905
loss: 0.38487514391541483, aac: 0.905
loss: 0.3892554395832121, aac: 0.9
loss: 0.40333571249619127, aac: 0.905
loss: 0.41511974815279246, aac: 0.9
loss: 0.4221082548517734, aac: 0.9
loss: 0.44207846484612673, aac: 0.895
loss: 0.44759336025919766, aac: 0.895
loss: 0.4428287554811686, aac: 0.895
loss: 0.4260697501944378, aac: 0.89
loss: 0.45227900342084465, aac: 0.895
loss: 0.47287942407885564, aac: 0.89
loss: 0.46998751755803825, aac: 0.89
loss: 0.48398938509402795, aac: 0.885
loss: 0.4848480617487803, aac: 0.89
loss: 0.49065066933864726, aac: 0.89
loss: 0.49253244858933615, aac: 0.89
loss: 0.4885313514061272, aac: 0.89
loss: 0.5096491680503823, aac: 0.885
loss: 0.49534214516868813, aac: 0.895
loss: 0.5244125250575599, aac: 0.89
loss: 0.5127685209538322, aac: 0.895
