loss: 0.6995518775284291, aac: 0.54
loss: 0.6930814109742641, aac: 0.565
loss: 0.6834653420746326, aac: 0.555
loss: 0.6838361339271068, aac: 0.56
loss: 0.6627418760955334, aac: 0.585
loss: 0.6462497517466546, aac: 0.635
loss: 0.6113536005467176, aac: 0.71
loss: 0.5752600435167551, aac: 0.8
loss: 0.5279907843470574, aac: 0.86
loss: 0.4890303780883551, aac: 0.84
loss: 0.4808777932822704, aac: 0.84
loss: 0.45705210611224173, aac: 0.835
loss: 0.4576553264632821, aac: 0.84
loss: 0.4361180114001036, aac: 0.87
loss: 0.42614448592066767, aac: 0.875
loss: 0.3992693255841732, aac: 0.88
loss: 0.39651328049600126, aac: 0.9
loss: 0.39815793123096227, aac: 0.885
loss: 0.4073602638207376, aac: 0.89
loss: 0.3937384090479463, aac: 0.895
loss: 0.3798278494738042, aac: 0.9
loss: 0.37927765627391635, aac: 0.895
loss: 0.38492530324496327, aac: 0.905
loss: 0.3572903348505497, aac: 0.91
loss: 0.37293720678426323, aac: 0.905
loss: 0.3702219585515559, aac: 0.905
loss: 0.3682973569468595, aac: 0.91
loss: 0.36197127480758357, aac: 0.925
loss: 0.347843695783522, aac: 0.92
loss: 0.3435957561829127, aac: 0.925
loss: 0.32025014027487486, aac: 0.925
loss: 0.3505891694664024, aac: 0.915
loss: 0.3315901091741398, aac: 0.93
loss: 0.3401835081109311, aac: 0.92
loss: 0.3533525660634041, aac: 0.925
loss: 0.3326989096717443, aac: 0.925
loss: 0.3363984518486541, aac: 0.925
loss: 0.3430374988395488, aac: 0.925
loss: 0.3307725732191466, aac: 0.925
loss: 0.32872464403975754, aac: 0.925
loss: 0.3254256583581446, aac: 0.93
loss: 0.32089375228155403, aac: 0.925
loss: 0.33478196831245444, aac: 0.925
loss: 0.3348251146491384, aac: 0.925
loss: 0.3273142841650406, aac: 0.925
loss: 0.32533202217600776, aac: 0.93
loss: 0.3265137500013225, aac: 0.93
loss: 0.31652238068752925, aac: 0.925
loss: 0.3194577715953346, aac: 0.935
loss: 0.330837210874015, aac: 0.93
loss: 0.3307755018476746, aac: 0.935
loss: 0.32725783985864837, aac: 0.935
loss: 0.3317037384933792, aac: 0.93
loss: 0.3142040062090382, aac: 0.93
loss: 0.29492445074312856, aac: 0.93
loss: 0.3148516583637684, aac: 0.94
loss: 0.3100729590051924, aac: 0.93
loss: 0.29795896066963906, aac: 0.935
loss: 0.2982270737027284, aac: 0.94
loss: 0.299537669543206, aac: 0.94
