loss: 0.6994572612643242, aac: 0.535
loss: 0.7121705988049507, aac: 0.545
loss: 0.7030594880878925, aac: 0.55
loss: 0.6917948864400387, aac: 0.555
loss: 0.6943309597671032, aac: 0.55
loss: 0.6894923348724842, aac: 0.545
loss: 0.6810212501883507, aac: 0.55
loss: 0.6537348016351462, aac: 0.59
loss: 0.6394192250818014, aac: 0.635
loss: 0.5946610153093934, aac: 0.69
loss: 0.5662489177659153, aac: 0.75
loss: 0.5302304805442691, aac: 0.77
loss: 0.500407633408904, aac: 0.765
loss: 0.48729975521564484, aac: 0.795
loss: 0.4856455444172025, aac: 0.78
loss: 0.5089009857550263, aac: 0.805
loss: 0.536363340113312, aac: 0.785
loss: 0.5348968442715705, aac: 0.785
loss: 0.5526504777185619, aac: 0.79
loss: 0.5592469934467226, aac: 0.8
loss: 0.5878443991532549, aac: 0.785
loss: 0.5962579044420272, aac: 0.78
loss: 0.6250624324707315, aac: 0.78
loss: 0.6396502453042194, aac: 0.795
loss: 0.6162141111772508, aac: 0.795
loss: 0.6645384998992085, aac: 0.8
loss: 0.6643462997023016, aac: 0.805
loss: 0.611083966428414, aac: 0.805
loss: 0.6287259061913937, aac: 0.805
loss: 0.6571690302737988, aac: 0.805
loss: 0.6439696227386594, aac: 0.81
loss: 0.6286213094205596, aac: 0.81
loss: 0.6257783964090049, aac: 0.805
loss: 0.6465047951648012, aac: 0.81
loss: 0.6689188374509104, aac: 0.815
loss: 0.6862504203082063, aac: 0.81
loss: 0.6807742207637056, aac: 0.815
loss: 0.6915803952852729, aac: 0.82
loss: 0.7098059448343702, aac: 0.815
loss: 0.7337750260264148, aac: 0.81
loss: 0.6944145355955698, aac: 0.815
loss: 0.6902462048246525, aac: 0.815
loss: 0.6630852087796666, aac: 0.835
loss: 0.6918769878381863, aac: 0.815
loss: 0.7145224497257732, aac: 0.82
loss: 0.6448851635900792, aac: 0.83
loss: 0.6578753903089091, aac: 0.835
loss: 0.6472862837382126, aac: 0.84
loss: 0.6555651618982665, aac: 0.855
loss: 0.6303039190429263, aac: 0.86
loss: 0.6391095076774945, aac: 0.855
loss: 0.5924105727218557, aac: 0.865
loss: 0.6547030552721117, aac: 0.84
loss: 0.5418464549852069, aac: 0.88
loss: 0.5538595681026345, aac: 0.87
loss: 0.6525947334803641, aac: 0.845
loss: 0.5144377978867851, aac: 0.89
loss: 0.557856766434852, aac: 0.865
loss: 0.4967793664135388, aac: 0.89
loss: 0.5505579885299084, aac: 0.88
87
