loss: 0.701295952796936, aac: 0.52
loss: 0.6903306464850902, aac: 0.54
loss: 0.6993856012821198, aac: 0.55
loss: 0.6943933789432049, aac: 0.55
loss: 0.6980292789638043, aac: 0.545
loss: 0.7000720496475696, aac: 0.545
loss: 0.6888612605631351, aac: 0.545
loss: 0.680057501718402, aac: 0.56
loss: 0.6524861654639245, aac: 0.59
loss: 0.638340387120843, aac: 0.635
loss: 0.609293477088213, aac: 0.7
loss: 0.5755353713035584, aac: 0.775
loss: 0.5430071404576302, aac: 0.77
loss: 0.5422502775490284, aac: 0.75
loss: 0.5544522091373801, aac: 0.75
loss: 0.5755255718901754, aac: 0.73
loss: 0.6016052104532719, aac: 0.74
loss: 0.6180719615519047, aac: 0.745
loss: 0.6203219310380519, aac: 0.74
loss: 0.5988063830137252, aac: 0.745
loss: 0.6316467289533466, aac: 0.76
loss: 0.603761282125488, aac: 0.765
loss: 0.6313442947156728, aac: 0.765
loss: 0.6442180149490013, aac: 0.77
loss: 0.6226141867367551, aac: 0.79
loss: 0.6605392600269988, aac: 0.76
loss: 0.6760974810598418, aac: 0.77
loss: 0.6293662541592494, aac: 0.785
loss: 0.653193458148744, aac: 0.77
loss: 0.6005003410414793, aac: 0.81
loss: 0.6316115720500238, aac: 0.8
loss: 0.6187927008676343, aac: 0.815
loss: 0.6173670308152214, aac: 0.805
loss: 0.618270120343659, aac: 0.79
loss: 0.6077187118725851, aac: 0.835
loss: 0.5902596952579916, aac: 0.82
loss: 0.6328188816271723, aac: 0.805
loss: 0.6291313009301667, aac: 0.81
loss: 0.6173949634679593, aac: 0.81
loss: 0.6367989668273367, aac: 0.815
loss: 0.6495719268382527, aac: 0.81
loss: 0.6423108274815604, aac: 0.79
loss: 0.646114670005627, aac: 0.805
loss: 0.6627059891622048, aac: 0.815
loss: 0.5888070686149877, aac: 0.845
loss: 0.6115356405847706, aac: 0.84
loss: 0.5928408606245648, aac: 0.845
loss: 0.5911755838477984, aac: 0.85
loss: 0.5863095726817846, aac: 0.85
loss: 0.6093881671119016, aac: 0.845
loss: 0.627252849539509, aac: 0.84
loss: 0.6082320123899262, aac: 0.84
loss: 0.628555522315437, aac: 0.845
loss: 0.6142641090764664, aac: 0.84
loss: 0.5886350187985226, aac: 0.845
loss: 0.5900075110141187, aac: 0.845
loss: 0.61960547866649, aac: 0.845
loss: 0.5856427955557593, aac: 0.865
loss: 0.585340708050644, aac: 0.86
loss: 0.6397334159724415, aac: 0.85
