loss: 0.7001282279193402, aac: 0.55
loss: 0.6913602969050407, aac: 0.53
loss: 0.6894375053048134, aac: 0.555
loss: 0.6714313571155072, aac: 0.575
loss: 0.6559360402822495, aac: 0.585
loss: 0.6374770595878363, aac: 0.64
loss: 0.6052039258182049, aac: 0.71
loss: 0.5560606298595667, aac: 0.825
loss: 0.5318717131763697, aac: 0.795
loss: 0.5005048318207264, aac: 0.82
loss: 0.4742185255885124, aac: 0.83
loss: 0.4801662540435791, aac: 0.82
loss: 0.45172610074281694, aac: 0.835
loss: 0.4527431282773614, aac: 0.855
loss: 0.4240548641234636, aac: 0.845
loss: 0.41875792255625127, aac: 0.875
loss: 0.4033927293494344, aac: 0.88
loss: 0.39741006136871876, aac: 0.89
loss: 0.37519094804301856, aac: 0.9
loss: 0.37841319537721574, aac: 0.895
loss: 0.38180110160261393, aac: 0.9
loss: 0.37921631255652755, aac: 0.895
loss: 0.372080098525621, aac: 0.895
loss: 0.3664947526715696, aac: 0.895
loss: 0.3666839989554137, aac: 0.905
loss: 0.35770944273564964, aac: 0.9
loss: 0.3734662079066038, aac: 0.895
loss: 0.36408611754886805, aac: 0.9
loss: 0.3614200837723911, aac: 0.89
loss: 0.3686178516293876, aac: 0.895
loss: 0.361881302788388, aac: 0.895
loss: 0.37492807510774584, aac: 0.895
loss: 0.37762049507698975, aac: 0.905
loss: 0.3853262433130294, aac: 0.9
loss: 0.3952456098352559, aac: 0.9
loss: 0.4155523978022393, aac: 0.91
loss: 0.3929603790899273, aac: 0.9
loss: 0.39402330055483614, aac: 0.9
loss: 0.4130168998672161, aac: 0.905
loss: 0.40712639736477285, aac: 0.905
loss: 0.38485892522963694, aac: 0.915
loss: 0.4156986437074374, aac: 0.905
loss: 0.4042339466244448, aac: 0.905
loss: 0.3790550761873601, aac: 0.9
loss: 0.42373502495174764, aac: 0.9
loss: 0.40981583716580644, aac: 0.9
loss: 0.3981512994650984, aac: 0.905
loss: 0.41076504268159625, aac: 0.91
loss: 0.41035583830263933, aac: 0.905
loss: 0.42070743977150415, aac: 0.91
loss: 0.41650438656273764, aac: 0.91
loss: 0.4011167514283443, aac: 0.915
loss: 0.4037698994978564, aac: 0.915
loss: 0.38047001070633996, aac: 0.92
loss: 0.4214916194963735, aac: 0.92
loss: 0.3966648016308318, aac: 0.915
loss: 0.3954013100915472, aac: 0.92
loss: 0.41534437425754733, aac: 0.91
loss: 0.4183998982893536, aac: 0.915
loss: 0.4276146599295316, aac: 0.905
