loss: 0.6860360607504845, aac: 0.59
loss: 0.6962315228581428, aac: 0.5
loss: 0.6811386723816395, aac: 0.545
loss: 0.6748063804209232, aac: 0.55
loss: 0.6899589119106531, aac: 0.545
loss: 0.6688157927244902, aac: 0.545
loss: 0.616390434615314, aac: 0.61
loss: 0.5610712957754731, aac: 0.725
loss: 0.5367313914373517, aac: 0.76
loss: 0.5625697819702328, aac: 0.705
loss: 0.5342845502588898, aac: 0.735
loss: 0.5681657957192511, aac: 0.73
loss: 0.5515703540388495, aac: 0.745
loss: 0.5438782955985516, aac: 0.735
loss: 0.5366833162587136, aac: 0.74
loss: 0.5260417749918997, aac: 0.795
loss: 0.5273193431738764, aac: 0.775
loss: 0.5267666157661006, aac: 0.785
loss: 0.5102489787060768, aac: 0.79
loss: 0.4910866075567901, aac: 0.81
loss: 0.49965413443744183, aac: 0.8
loss: 0.5027136709168554, aac: 0.795
loss: 0.5068163398420438, aac: 0.8
loss: 0.5003868525335565, aac: 0.805
loss: 0.549100562077947, aac: 0.8
loss: 0.5160544163151645, aac: 0.8
loss: 0.5084711974160746, aac: 0.815
loss: 0.5426712353783659, aac: 0.805
loss: 0.5324137236131355, aac: 0.805
loss: 0.5375785827543587, aac: 0.805
loss: 0.5468208579858765, aac: 0.81
loss: 0.5490054615470581, aac: 0.805
loss: 0.5535091026243754, aac: 0.795
loss: 0.5454617267334834, aac: 0.82
loss: 0.5490666009159759, aac: 0.79
loss: 0.545476601284463, aac: 0.815
loss: 0.5630827638530173, aac: 0.815
loss: 0.5430528340023011, aac: 0.825
loss: 0.5726141297724098, aac: 0.825
loss: 0.5235655515943654, aac: 0.83
loss: 0.5665018577035517, aac: 0.81
loss: 0.5643759213713929, aac: 0.81
loss: 0.5394797305529937, aac: 0.84
loss: 0.5586189600708894, aac: 0.815
loss: 0.5649018035084009, aac: 0.825
loss: 0.5530733110220172, aac: 0.85
loss: 0.528106146438513, aac: 0.86
loss: 0.5255910909012891, aac: 0.86
loss: 0.5322755544562824, aac: 0.86
loss: 0.5430103044491261, aac: 0.86
loss: 0.5156956009822897, aac: 0.86
loss: 0.5296644520317204, aac: 0.86
loss: 0.5088372799800709, aac: 0.86
loss: 0.5255143333156593, aac: 0.865
loss: 0.5147057856817264, aac: 0.87
loss: 0.5142085837782361, aac: 0.87
loss: 0.5343500554049387, aac: 0.87
loss: 0.5013984509510919, aac: 0.875
loss: 0.5207569464435801, aac: 0.865
loss: 0.5274358712753746, aac: 0.865
