loss: 0.7006433573365212, aac: 0.52
loss: 0.6965810871124267, aac: 0.53
loss: 0.6968808686733245, aac: 0.53
loss: 0.6900100162625313, aac: 0.585
loss: 0.6877381163835525, aac: 0.56
loss: 0.6968310970067978, aac: 0.495
loss: 0.6806953004002572, aac: 0.58
loss: 0.6825464762747288, aac: 0.55
loss: 0.6880402484536171, aac: 0.545
loss: 0.7033700376749039, aac: 0.545
loss: 0.7109308779984712, aac: 0.545
loss: 0.6826810496300459, aac: 0.545
loss: 0.6242569346353412, aac: 0.58
loss: 0.5841089021414518, aac: 0.665
loss: 0.558846674002707, aac: 0.75
loss: 0.5609682225063444, aac: 0.74
loss: 0.5664120664075017, aac: 0.735
loss: 0.5810725230071694, aac: 0.72
loss: 0.5868607538286597, aac: 0.745
loss: 0.5926710803154855, aac: 0.735
loss: 0.598374204179272, aac: 0.745
loss: 0.5972651365771889, aac: 0.755
loss: 0.6200094765890389, aac: 0.74
loss: 0.6176037143636495, aac: 0.76
loss: 0.6063454534951598, aac: 0.76
loss: 0.6001655563618988, aac: 0.765
loss: 0.620799901643768, aac: 0.755
loss: 0.6341677909903228, aac: 0.765
loss: 0.6316744151711464, aac: 0.765
loss: 0.6350964939640835, aac: 0.775
loss: 0.6337691712193191, aac: 0.77
loss: 0.6436607729177922, aac: 0.77
loss: 0.6243574164574965, aac: 0.78
loss: 0.6372047721687705, aac: 0.785
loss: 0.6314272113260813, aac: 0.79
loss: 0.6112453112564981, aac: 0.79
loss: 0.6047368109691889, aac: 0.8
loss: 0.6202549403393641, aac: 0.79
loss: 0.6407905679754913, aac: 0.79
loss: 0.6019471660908312, aac: 0.805
loss: 0.6173242161842063, aac: 0.81
loss: 0.5982450328441337, aac: 0.795
loss: 0.62488319410244, aac: 0.795
loss: 0.6373406245722435, aac: 0.81
loss: 0.6174596023675986, aac: 0.825
loss: 0.6301872992725112, aac: 0.81
loss: 0.6133817434054799, aac: 0.83
loss: 0.6021819695155136, aac: 0.835
loss: 0.603393366606906, aac: 0.815
loss: 0.6191430036642123, aac: 0.84
loss: 0.5983390798955225, aac: 0.825
loss: 0.5785216712299734, aac: 0.825
loss: 0.6135807788092643, aac: 0.825
loss: 0.570716543677263, aac: 0.835
loss: 0.5909809376264457, aac: 0.825
loss: 0.6205808109277859, aac: 0.835
loss: 0.611751326888334, aac: 0.825
loss: 0.6055852522060741, aac: 0.84
loss: 0.6078472262958531, aac: 0.825
loss: 0.5859417611709796, aac: 0.825
