loss: 0.6986572548747063, aac: 0.485
loss: 0.6842840561270713, aac: 0.565
loss: 0.679168119430542, aac: 0.555
loss: 0.6545628076791763, aac: 0.57
loss: 0.6352833802998066, aac: 0.56
loss: 0.6026498614996671, aac: 0.7
loss: 0.6083459574729204, aac: 0.66
loss: 0.652927816323936, aac: 0.66
loss: 0.6734984106197953, aac: 0.675
loss: 0.6796534425392747, aac: 0.655
loss: 0.6957894428633153, aac: 0.68
loss: 0.704022332392633, aac: 0.675
loss: 0.7213526646513492, aac: 0.67
loss: 0.7345654508285224, aac: 0.675
loss: 0.7220440856646746, aac: 0.69
loss: 0.7223281017038972, aac: 0.685
loss: 0.7443405088316649, aac: 0.685
loss: 0.6956989859044552, aac: 0.69
loss: 0.7161768497433514, aac: 0.71
loss: 0.7239060062449425, aac: 0.7
loss: 0.7088463749270886, aac: 0.705
loss: 0.6993495578411967, aac: 0.715
loss: 0.715307346121408, aac: 0.705
loss: 0.6847583709517494, aac: 0.735
loss: 0.6734597725700587, aac: 0.73
loss: 0.6745009917905554, aac: 0.745
loss: 0.6494772216212005, aac: 0.74
loss: 0.6554338207747787, aac: 0.765
loss: 0.6581271776882932, aac: 0.775
loss: 0.6259981157374568, aac: 0.78
loss: 0.6268069454003126, aac: 0.78
loss: 0.6209669258492068, aac: 0.79
loss: 0.6015019445912912, aac: 0.795
loss: 0.6064447879325598, aac: 0.8
loss: 0.5980785364890471, aac: 0.8
loss: 0.6044662380032242, aac: 0.805
loss: 0.5839722266653553, aac: 0.805
loss: 0.5871206375164911, aac: 0.82
loss: 0.5515392103698105, aac: 0.815
loss: 0.556232508085668, aac: 0.825
loss: 0.5529464517626912, aac: 0.83
loss: 0.5444708596309646, aac: 0.845
loss: 0.539227244593203, aac: 0.825
loss: 0.5403904968197457, aac: 0.845
loss: 0.540775597402826, aac: 0.845
loss: 0.552969772266224, aac: 0.84
loss: 0.5515949347056448, aac: 0.835
loss: 0.538974178917706, aac: 0.845
loss: 0.5363983282470144, aac: 0.85
loss: 0.5555680616060272, aac: 0.84
loss: 0.5520921199652367, aac: 0.85
loss: 0.5290315783326514, aac: 0.86
loss: 0.5516388217755593, aac: 0.865
loss: 0.5438627378013916, aac: 0.86
loss: 0.5501338208676316, aac: 0.855
loss: 0.537478165475186, aac: 0.86
loss: 0.5363209340558387, aac: 0.865
loss: 0.5377849669777788, aac: 0.865
loss: 0.5480463045975194, aac: 0.865
loss: 0.5468499834719114, aac: 0.86
