loss: 0.6906478402018547, aac: 0.535
loss: 0.6862300661206245, aac: 0.53
loss: 0.6887948451936245, aac: 0.54
loss: 0.6865448392927647, aac: 0.545
loss: 0.7101579239964485, aac: 0.545
loss: 0.730530002862215, aac: 0.545
loss: 0.745425233617425, aac: 0.545
loss: 0.7436706806346775, aac: 0.545
loss: 0.73950724106282, aac: 0.545
loss: 0.7106458676420152, aac: 0.545
loss: 0.6911215737275779, aac: 0.555
loss: 0.6262471369840205, aac: 0.555
loss: 0.5894239909015596, aac: 0.66
loss: 0.5522456587105989, aac: 0.76
loss: 0.5355749846808613, aac: 0.79
loss: 0.5272792359348386, aac: 0.77
loss: 0.5387759231217205, aac: 0.75
loss: 0.5408404613472522, aac: 0.765
loss: 0.5556642135698349, aac: 0.76
loss: 0.5614179526641965, aac: 0.76
loss: 0.5656544269714504, aac: 0.76
loss: 0.5677936455281452, aac: 0.77
loss: 0.5596389484312385, aac: 0.785
loss: 0.5515009042294696, aac: 0.785
loss: 0.578271713363938, aac: 0.805
loss: 0.5562209820677526, aac: 0.8
loss: 0.5636897486052476, aac: 0.805
loss: 0.5482015522709116, aac: 0.825
loss: 0.5282737659336999, aac: 0.825
loss: 0.5415399906318634, aac: 0.82
loss: 0.5386260478151962, aac: 0.815
loss: 0.5414928106521256, aac: 0.81
loss: 0.5342506639636122, aac: 0.81
loss: 0.5376395534095354, aac: 0.83
loss: 0.5275944824249018, aac: 0.82
loss: 0.5387797360913829, aac: 0.815
loss: 0.520031369770877, aac: 0.82
loss: 0.5220609401795082, aac: 0.82
loss: 0.5342430629511363, aac: 0.8
loss: 0.5298614229133818, aac: 0.825
loss: 0.540973763091024, aac: 0.81
loss: 0.5587936346547212, aac: 0.815
loss: 0.5219007618259639, aac: 0.82
loss: 0.5448475132067688, aac: 0.82
loss: 0.5481226475024595, aac: 0.815
loss: 0.5194208641641308, aac: 0.845
loss: 0.5383804495248478, aac: 0.83
loss: 0.5315340270427987, aac: 0.825
loss: 0.5412032701587305, aac: 0.825
loss: 0.565859058489441, aac: 0.825
loss: 0.5412388035410549, aac: 0.83
loss: 0.5488142483239062, aac: 0.835
loss: 0.5407180445466656, aac: 0.82
loss: 0.5642791372037027, aac: 0.815
loss: 0.5317066305631306, aac: 0.83
loss: 0.5523070106370142, aac: 0.835
loss: 0.5472255150403362, aac: 0.835
loss: 0.545673232182744, aac: 0.835
loss: 0.5748652405157918, aac: 0.82
loss: 0.554788090926595, aac: 0.82
